risk_area,risk,evidence,business_consequence,mitigation,priority
Leakage,Transactions are not available for the future forecasting horizon.,transactions_clean ends on the last train date and does not cover test.,A model using future transactions would look unrealistically accurate and fail in deployment.,Use transactions only for diagnostics or lagged historical features.,critical
Promotion shift,Promotion share is much higher in test than in the historical average.,Test promotion row share is more than double the train average.,Forecast horizon may have stronger demand pressure than typical historical periods.,Validate model robustness on high-promotion periods.,high
Sparse demand,Some stores and families have long zero-sales periods.,Store and family zero-activity summaries show structural sparsity.,Standard models may overfit zeros or underpredict intermittent demand peaks.,Create time-safe zero-sales features and evaluate by family/store segments.,high
Closures,January 1st behaves as a closure-like day.,More than 97% of store-family rows show zero sales on January 1st.,The model may confuse closures with normal demand drops.,Create special calendar indicators and review validation periods.,high
Outliers,High-sales days may represent real demand shocks.,"Top daily and row-level sales observations coincide with promotions, events, and high-volume families.",Removing outliers blindly may remove critical stockout-risk periods.,Preserve outliers unless there is clear evidence of data error.,high
Aggregation,Aggregated sales hide store-family heterogeneity.,Stores and product families show very different demand volumes and volatility.,A model optimized only on aggregate behavior may fail operationally.,"Evaluate performance by store, family, and high-volume segments.",high
Holiday interpretation,Holiday features were aggregated at date level.,Local and regional events are not fully assigned to individual store locations.,Event effects may be diluted or misassigned for specific stores.,Use holiday variables as contextual signals and validate their contribution.,medium
Oil interpretation,WTI oil price is not the same as domestic consumer fuel cost.,"Oil-sales correlation may be influenced by trend, macro context, and fuel subsidy policy.",Misinterpreting oil as a direct demand driver could create weak business conclusions.,Treat oil as contextual and validate through time-based modeling.,medium
Incomplete period,August 2017 train data is incomplete.,Train ends on 2017-08-15 while monthly plots include partial August.,Monthly trend charts can falsely suggest a final demand drop.,Use complete-month views for monthly conclusions.,medium
Metric interpretation,Global metrics may hide poor performance on critical segments.,Demand is concentrated in top stores and families.,A model can look good globally while failing important replenishment cases.,Report global metrics plus segment-level diagnostics.,high
