area,decision,reason,output_impact
Raw data,Never overwrite raw files,Raw files are the source of truth and must remain unchanged.,"All generated files will be saved under data/interim, data/processed, or reports."
Train and test,Keep train and test separated,Keeping them separated reduces the risk of data leakage.,train_clean and test_clean will be created separately.
Forecasting grain,Use date + store_nbr + family as the forecasting grain,This is the unique logical key available in both train and test.,All base tables must preserve this grain.
Product metadata,Use family as the available product-level variable,The dataset does not include a separate item-level metadata table.,No item-level joins will be created.
Oil,Create a complete daily oil table and impute missing prices,Raw oil data does not contain every calendar date and includes null price values.,oil_daily_clean will be created before joining with train or test.
Holidays,Aggregate holidays by date before joining,"Multiple holiday events can occur on the same date, creating row multiplication if joined directly.",holidays_daily_clean will be created for safe joins.
Transactions,Clean and save transactions separately,Transactions are historical and are not available for the future test period.,"transactions_clean will be saved, but not included in the default train/test base tables."
Sales target,Do not transform sales in this notebook,Target transformations belong to feature engineering or modeling notebooks.,sales will remain unchanged in train_clean and train_base.
Missing values,Only handle missing values where required for safe joins,The only detected missing values are in the auxiliary oil price column.,Missing oil prices will be handled in oil_daily_clean.
Output format,Use Parquet as the main output format,"Parquet is efficient, preserves data types better than CSV, and is suitable for reusable pipelines.",Clean datasets will be saved as .parquet files.
